완료,제목,파일명,날짜,시작시간,방송길이,주제,part,상세내용,메모,URL,손님,영도,주식,이미지파일명,카테고리,고유 라이브 ID,금일 방송 횟수,타임라인CSV,소스CSV
False,끼요오오옷,20250118,20250118,,03:25:56,,,,,https://chzzk.naver.com/video/5368269,,,,,,,,,
False,그르르르륵...더..더어언파아...,20250116,20250116,,03:08:28,,,,,https://chzzk.naver.com/video/5336307,,,,,,,,,
False,밤11시에 기상한 남자,20250113,20250113,,05:11:19,,,,,https://chzzk.naver.com/video/5280437,,,,,,,,,
False,렐레레데리,20250111,20250111,,04:36:27,,,,,https://chzzk.naver.com/video/5244176,,,,,,,,,
False,우당탕탕 낙서방송,20250111,20250111,,03:25:08,,,,,https://chzzk.naver.com/video/5255550,,,,,,,,,
False,모닝레데리,20250111,20250111,,02:46:50,,,,,https://chzzk.naver.com/video/5249851,,,,,,,,,
False,일찍일어나는 새가 어쩌고 저쩌고,20250111,20250111,,02:32:42,,,,,https://chzzk.naver.com/video/5248848,,,,,,,,,
False,비명을 질러라,20250109,20250109,,04:39:34,,,,,https://chzzk.naver.com/video/5218449,,,,,,,,,
False,레데리 처음 하는 뇌 ,20250106,20250106,,02:56:50,,,,,https://chzzk.naver.com/video/5164339,,,,,,,,,
False,광고] 무려 원신 그림그리기,20250105,20250105,,03:13:52,,,,,https://chzzk.naver.com/video/5159934,,,,,,,,,
False,7시 그림방송. 그전까진 낙서,20250104,20250104,,03:21:50,,,,,https://chzzk.naver.com/video/5142431,,,,,,,,,
False,레데리 처음하는 뇌,20250104,20250104,,02:35:41,,,,,https://chzzk.naver.com/video/5129993,,,,,,,,,
False,7시 그림방송. 그전까진 낙서,20250104,20250104,,02:48:19,,,,,https://chzzk.naver.com/video/5139145,,,,,,,,,
False,이승권게임,20250103,20250103,,02:19:13,,,,,https://chzzk.naver.com/video/5125119,,,,,,,,,
False,2025년 운세확인하기,20250101,20250101,,01:48:12,,,,,https://chzzk.naver.com/video/5092199,,,,,,,,,
False,레데리처음해보는 뇌,20241231,20241231,,05:18:48,,,,,https://chzzk.naver.com/video/5062661,,,,,,,,,
False,띵가띵가,20241230,20241230,,02:45:27,,,,,https://chzzk.naver.com/video/5047746,,,,,,,,,
False,주말그림방송 ,20241229,20241229,,06:12:41,,,,,https://chzzk.naver.com/video/5033992,,,,,,,,,
False,오겜2 읭읭이로 요약하기(스포주의),20241228,20241228,,03:08:26,,,,,https://chzzk.naver.com/video/5014685,,,,,,,,,
False,퍼섭즐기다가 그림방송하기,20241227,20241227,,01:04:33,,,,,https://chzzk.naver.com/video/5010965,,,,,,,,,
